class_id,label,f1,precision,recall,support
3,14. Election,0.0,0.0,0.0,2
5,19. House,0.0,0.0,0.0,1
10,28. Window,0.0,0.0,0.0,3
12,34. Pen,0.0,0.0,0.0,2
21,46. you (plural),0.0,0.0,0.0,3
22,47. Red,0.0,0.0,0.0,2
28,54. Cell phone,0.0,0.0,0.0,4
30,55. White,0.0,0.0,0.0,1
31,61. Father,0.0,0.0,0.0,2
36,77. Boy,0.0,0.0,0.0,4
37,78. Girl,0.0,0.0,0.0,2
46,91. Priest,0.0,0.0,0.0,1
48,94. good,0.0,0.0,0.0,3
17,40. Paint,0.2222222222222222,0.16666666666666666,0.3333333333333333,3
27,54. Black,0.26666666666666666,0.2,0.4,5
1,1. loud,0.2857142857142857,1.0,0.16666666666666666,6
43,84. small little,0.2857142857142857,0.3333333333333333,0.25,4
15,4. Bird,0.4,0.25,1.0,1
18,42. T-Shirt,0.4,0.5,0.3333333333333333,3
23,48. Hello,0.4,0.6666666666666666,0.2857142857142857,7
38,78. Year,0.4,0.6666666666666666,0.2857142857142857,7
44,86. Time,0.4,0.5,0.3333333333333333,3
7,2. quiet,0.4444444444444444,0.3333333333333333,0.6666666666666666,3
14,37. Hat,0.4444444444444444,0.3333333333333333,0.6666666666666666,6
47,91. new,0.4444444444444444,0.3333333333333333,0.6666666666666666,3
13,35. Bank,0.47058823529411764,0.36363636363636365,0.6666666666666666,6
19,44. Shoes,0.5,0.5,0.5,4
25,51. Good Morning,0.5,0.5,0.5,4
32,61. Summer,0.5,1.0,0.3333333333333333,3
42,84. Teacher,0.5,1.0,0.3333333333333333,3
6,2. Death,0.5714285714285714,1.0,0.4,5
11,3. happy,0.5714285714285714,0.5,0.6666666666666666,3
40,79. short,0.6,0.75,0.5,6
41,83. big large,0.6,0.5,0.75,4
0,1. Dog,0.6153846153846154,0.6666666666666666,0.5714285714285714,7
45,87. hot,0.625,0.5,0.8333333333333334,6
33,64. Fall,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
39,78. long,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
9,28. Store or Shop,0.75,0.75,0.75,4
29,55. Thank you,0.7692307692307693,0.8333333333333334,0.7142857142857143,7
2,11. Car,0.8,0.6666666666666666,1.0,4
4,16. train ticket,0.8235294117647058,0.7777777777777778,0.875,8
16,40. I,0.8571428571428571,0.75,1.0,3
24,5. Cow,0.8571428571428571,0.75,1.0,3
34,66. Brother,0.8888888888888888,1.0,0.8,5
8,23. Court,1.0,1.0,1.0,3
20,44. it,1.0,1.0,1.0,9
26,53. Fan,1.0,1.0,1.0,3
35,67. Monday,1.0,1.0,1.0,2
